 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [06/Dec/2017 22:05:08] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [06/Dec/2017 22:05:08] "GET /static/css/page.css HTTP/1.0" 200 -
127.0.0.1 - - [06/Dec/2017 22:05:08] "GET /favicon.ico HTTP/1.0" 404 -
127.0.0.1 - - [06/Dec/2017 22:40:09] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [06/Dec/2017 23:35:09] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [07/Dec/2017 01:17:34] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [07/Dec/2017 04:26:15] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [07/Dec/2017 05:25:05] "GET /hndUnblock.cgi HTTP/1.0" 404 -
127.0.0.1 - - [07/Dec/2017 05:25:08] "GET /tmUnblock.cgi HTTP/1.0" 404 -
127.0.0.1 - - [07/Dec/2017 05:25:11] "GET /moo HTTP/1.0" 404 -
127.0.0.1 - - [07/Dec/2017 05:25:14] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [07/Dec/2017 05:25:17] "POST /getcfg.php HTTP/1.0" 404 -
127.0.0.1 - - [07/Dec/2017 05:25:24] "POST /getcfg.php HTTP/1.0" 404 -
127.0.0.1 - - [07/Dec/2017 07:01:18] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [07/Dec/2017 07:01:18] "GET /login.action HTTP/1.0" 404 -
127.0.0.1 - - [07/Dec/2017 07:01:18] "GET /index.action HTTP/1.0" 404 -
127.0.0.1 - - [07/Dec/2017 07:01:18] "GET /index.htm HTTP/1.0" 404 -
127.0.0.1 - - [07/Dec/2017 07:01:19] "GET /index.html HTTP/1.0" 404 -
127.0.0.1 - - [07/Dec/2017 07:01:19] "GET /index.jsp HTTP/1.0" 404 -
127.0.0.1 - - [07/Dec/2017 10:33:08] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [07/Dec/2017 12:04:51] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [07/Dec/2017 13:08:50] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [07/Dec/2017 14:17:50] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [07/Dec/2017 17:39:05] "GET /testproxy.php HTTP/1.0" 404 -
127.0.0.1 - - [07/Dec/2017 21:38:54] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [08/Dec/2017 01:22:31] "GET /currentsetting.htm HTTP/1.0" 404 -
127.0.0.1 - - [08/Dec/2017 01:50:43] "PROPFIND / HTTP/1.0" 405 -
127.0.0.1 - - [08/Dec/2017 04:19:20] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [08/Dec/2017 08:54:56] "GET /favicon.ico HTTP/1.0" 404 -
127.0.0.1 - - [08/Dec/2017 20:13:22] "GET /w00tw00t.at.blackhats.romanian.anti-sec:) HTTP/1.0" 404 -
127.0.0.1 - - [08/Dec/2017 20:13:23] "GET /phpMyAdmin/scripts/setup.php HTTP/1.0" 404 -
127.0.0.1 - - [08/Dec/2017 20:13:23] "GET /phpmyadmin/scripts/setup.php HTTP/1.0" 404 -
127.0.0.1 - - [08/Dec/2017 20:13:23] "GET /pma/scripts/setup.php HTTP/1.0" 404 -
127.0.0.1 - - [08/Dec/2017 20:13:24] "GET /myadmin/scripts/setup.php HTTP/1.0" 404 -
127.0.0.1 - - [08/Dec/2017 20:13:24] "GET /MyAdmin/scripts/setup.php HTTP/1.0" 404 -
127.0.0.1 - - [08/Dec/2017 20:42:00] "GET / HTTP/1.0" 200 -
